2022-03-23 15:41:04,738 | MainThread   | [DEBUG   ] | __init__            |: System Info: macOS-10.16-x86_64-i386-64bit
2022-03-23 15:41:04,741 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:B0:6C:9A:3C
2022-03-23 15:41:12,495 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:B0:6C:9A:3C
2022-03-23 15:41:15,488 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:B0:6C:9A:3C
2022-03-23 15:41:42,101 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 607452C2-8441-D076-814E-841EB3635426
2022-03-23 16:26:37,945 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2022-03-23 16:26:37,954 | MainThread   | [WARNING ] | exit_handler        |: Could not disconnect before exiting
2022-03-23 16:26:37,955 | MainThread   | [WARNING ] | exit_handler        |: Not connected to a BLE device
2022-03-25 19:06:27,431 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=9, micro=10, releaselevel='final', serial=0)
2022-03-25 19:06:27,431 | MainThread   | [DEBUG   ] | __init__            |: System Info: macOS-10.16-x86_64-i386-64bit
2022-03-25 19:06:27,432 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:B0:6C:9A:3C
2022-03-25 19:06:30,721 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:B0:6C:9A:3C
2022-03-25 19:08:23,501 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 607452C2-8441-D076-814E-841EB3635426
2022-03-25 19:08:48,508 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:B0:6C:9A:3C
2022-03-25 19:09:20,767 | MainThread   | [ERROR   ] | _connect            |: disconnected
2022-03-25 19:09:21,772 | MainThread   | [WARNING ] | connect             |: Attempting to connect again...
2022-03-25 19:09:21,774 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:B0:6C:9A:3C
2022-03-25 19:09:37,850 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:B0:6C:9A:3C
2022-03-25 19:09:54,581 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:B0:6C:9A:3C
2022-03-25 19:18:47,356 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:B0:6C:9A:3C
2022-03-25 19:18:50,085 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:B0:6C:9A:3C
2022-03-25 19:21:40,993 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 607452C2-8441-D076-814E-841EB3635426
2022-03-25 19:22:06,614 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:B0:6C:9A:3C
2022-03-25 19:22:09,608 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:B0:6C:9A:3C
2022-03-25 19:23:13,314 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 607452C2-8441-D076-814E-841EB3635426
2022-03-25 19:23:26,495 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:B0:6C:9A:3C
2022-03-25 19:23:29,257 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:B0:6C:9A:3C
2022-03-25 19:24:43,328 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 607452C2-8441-D076-814E-841EB3635426
2022-03-25 19:25:07,709 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:B0:6C:9A:3C
2022-03-25 19:25:10,491 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:B0:6C:9A:3C
2022-03-25 19:26:11,258 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 607452C2-8441-D076-814E-841EB3635426
2022-03-25 19:26:28,544 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:B0:6C:9A:3C
2022-03-25 19:26:31,282 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:B0:6C:9A:3C
2022-03-25 19:27:46,290 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 607452C2-8441-D076-814E-841EB3635426
2022-03-25 19:29:11,583 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:B0:6C:9A:3C
2022-03-25 19:29:14,652 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:B0:6C:9A:3C
2022-03-25 19:30:00,868 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 607452C2-8441-D076-814E-841EB3635426
2022-03-25 19:31:08,198 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:B0:6C:9A:3C
2022-03-25 19:31:11,050 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:B0:6C:9A:3C
2022-03-25 19:32:27,896 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 607452C2-8441-D076-814E-841EB3635426
2022-03-25 19:34:28,524 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:B0:6C:9A:3C
2022-03-25 19:34:31,414 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:B0:6C:9A:3C
2022-03-25 19:35:00,096 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 607452C2-8441-D076-814E-841EB3635426
2022-03-25 19:38:28,414 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:B0:6C:9A:3C
2022-03-25 19:38:31,201 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:B0:6C:9A:3C
2022-03-25 19:41:55,348 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 607452C2-8441-D076-814E-841EB3635426
